Record ID,Year,District,Crime_Type,Victim_Gender,Time_of_Incident,Location_Type,Number_of_Accused,Reported_To_Police,Crime_Severity
99,2024,Madurai,Property Crime,Male,Evening,Semi-Urban,3,No,Low
100,2018,Vellore,Sexual Crime,Male,Morning,Rural,5,No,High
101,2023,Tiruchirappalli,Sexual Crime,Other,Night,Urban,3,No,Very High
102,2020,Thoothukudi,Cyber Crime,Male,Night,Rural,2,No,Moderate
103,2023,Madurai,Economic Offense,Male,Evening,Urban,5,Yes,Low
104,2022,Tiruchirappalli,Sexual Crime,Female,Night,Semi-Urban,2,No,High
105,2020,Erode,Property Crime,Male,Night,Urban,2,No,Low
106,2022,Erode,Property Crime,Other,Night,Urban,2,Yes,Low
107,2021,Tiruchirappalli,Economic Offense,Other,Night,Urban,2,No,Moderate
108,2015,Vellore,Economic Offense,Other,Evening,Semi-Urban,1,Yes,Very Low
109,2014,Madurai,Cyber Crime,Male,Afternoon,Urban,4,No,Moderate
110,2020,Vellore,Violent Crime,Female,Afternoon,Urban,1,No,Low
111,2020,Coimbatore,Property Crime,Other,Afternoon,Semi-Urban,3,No,Low
112,2021,Tirunelveli,Economic Offense,Male,Morning,Rural,3,Yes,Moderate
113,2018,Coimbatore,Property Crime,Other,Night,Rural,4,Yes,Moderate
114,2016,Erode,Economic Offense,Other,Evening,Rural,4,No,Moderate
115,2021,Thoothukudi,Sexual Crime,Female,Evening,Semi-Urban,4,No,High
116,2019,Chennai,Property Crime,Other,Morning,Semi-Urban,2,Yes,Very Low
117,2024,Tirunelveli,Sexual Crime,Female,Evening,Rural,1,Yes,Moderate
118,2016,Erode,Property Crime,Male,Afternoon,Urban,3,Yes,Low
119,2014,Vellore,Violent Crime,Other,Morning,Rural,1,No,Moderate
120,2016,Vellore,Cyber Crime,Male,Evening,Semi-Urban,1,Yes,Very Low
121,2018,Vellore,Sexual Crime,Male,Morning,Urban,1,Yes,Low
122,2016,Thoothukudi,Economic Offense,Male,Morning,Urban,4,Yes,Low
123,2014,Coimbatore,Violent Crime,Other,Evening,Semi-Urban,4,Yes,Moderate
124,2018,Chennai,Property Crime,Female,Afternoon,Urban,3,Yes,Low
125,2023,Vellore,Sexual Crime,Other,Evening,Rural,3,Yes,High
126,2020,Dindigul,Property Crime,Male,Night,Semi-Urban,3,Yes,Moderate
127,2020,Tirunelveli,Property Crime,Female,Night,Semi-Urban,1,No,Low
128,2024,Madurai,Property Crime,Male,Evening,Semi-Urban,4,Yes,Low
129,2022,Dindigul,Cyber Crime,Female,Afternoon,Semi-Urban,2,No,Low
130,2023,Chennai,Cyber Crime,Other,Night,Urban,1,No,Moderate
131,2023,Thoothukudi,Economic Offense,Female,Night,Semi-Urban,5,Yes,Moderate
132,2016,Chennai,Sexual Crime,Other,Evening,Semi-Urban,1,No,Moderate
133,2020,Madurai,Violent Crime,Male,Evening,Urban,4,No,Moderate
134,2014,Tirunelveli,Violent Crime,Female,Evening,Semi-Urban,5,Yes,Moderate
135,2017,Madurai,Violent Crime,Male,Morning,Urban,1,No,Low
136,2017,Tiruchirappalli,Property Crime,Female,Morning,Urban,4,Yes,Low
137,2018,Tirunelveli,Cyber Crime,Other,Morning,Semi-Urban,4,Yes,Low
138,2020,Chennai,Sexual Crime,Female,Evening,Rural,2,Yes,Moderate
139,2020,Vellore,Property Crime,Female,Afternoon,Semi-Urban,1,Yes,Very Low
140,2024,Chennai,Cyber Crime,Other,Night,Rural,4,Yes,High
141,2017,Chennai,Cyber Crime,Other,Morning,Urban,3,Yes,Low
142,2020,Tirunelveli,Sexual Crime,Other,Afternoon,Rural,4,Yes,High
143,2024,Tiruchirappalli,Sexual Crime,Female,Evening,Semi-Urban,2,No,Moderate
144,2016,Chennai,Sexual Crime,Male,Morning,Semi-Urban,4,Yes,Moderate
145,2019,Dindigul,Property Crime,Female,Evening,Rural,1,No,Low
146,2015,Erode,Economic Offense,Female,Afternoon,Semi-Urban,1,Yes,Very Low
147,2023,Salem,Sexual Crime,Male,Morning,Rural,5,Yes,High
148,2022,Salem,Economic Offense,Other,Morning,Urban,1,Yes,Very Low
149,2018,Chennai,Property Crime,Female,Morning,Rural,5,No,Moderate
150,2019,Dindigul,Economic Offense,Male,Morning,Rural,3,No,Moderate
151,2017,Vellore,Violent Crime,Other,Afternoon,Rural,2,No,Moderate
152,2024,Thoothukudi,Economic Offense,Other,Morning,Rural,3,No,Moderate
153,2023,Thoothukudi,Sexual Crime,Female,Night,Urban,5,No,Very High
154,2020,Tirunelveli,Property Crime,Other,Night,Urban,4,No,Moderate
155,2022,Salem,Sexual Crime,Other,Evening,Urban,4,Yes,Moderate
156,2020,Chennai,Violent Crime,Male,Morning,Rural,3,Yes,Moderate
157,2014,Thoothukudi,Sexual Crime,Male,Night,Urban,4,No,Very High
158,2014,Chennai,Sexual Crime,Other,Night,Semi-Urban,5,No,Very High
159,2022,Tirunelveli,Sexual Crime,Male,Night,Urban,2,No,High
160,2024,Salem,Cyber Crime,Other,Afternoon,Rural,1,No,Low
161,2022,Madurai,Violent Crime,Female,Morning,Semi-Urban,5,No,Moderate
162,2017,Erode,Sexual Crime,Male,Afternoon,Rural,5,Yes,High
163,2022,Erode,Sexual Crime,Other,Afternoon,Semi-Urban,1,Yes,Low
164,2016,Thoothukudi,Sexual Crime,Other,Night,Rural,1,Yes,High
165,2020,Erode,Property Crime,Male,Night,Rural,2,Yes,Low
166,2019,Madurai,Cyber Crime,Male,Evening,Semi-Urban,2,Yes,Very Low
167,2021,Chennai,Property Crime,Female,Morning,Urban,2,Yes,Very Low
168,2024,Tirunelveli,Cyber Crime,Other,Morning,Semi-Urban,4,Yes,Low
169,2022,Madurai,Sexual Crime,Female,Night,Semi-Urban,5,Yes,High
170,2018,Tirunelveli,Violent Crime,Female,Night,Semi-Urban,1,No,Moderate
171,2014,Tirunelveli,Economic Offense,Female,Morning,Semi-Urban,5,No,Moderate
172,2016,Salem,Economic Offense,Male,Evening,Semi-Urban,5,Yes,Low
173,2023,Chennai,Sexual Crime,Female,Night,Rural,2,Yes,High
174,2021,Dindigul,Property Crime,Male,Evening,Rural,2,Yes,Very Low
175,2024,Erode,Violent Crime,Male,Afternoon,Urban,5,No,Moderate
176,2019,Dindigul,Cyber Crime,Female,Night,Urban,2,No,Moderate
177,2021,Salem,Sexual Crime,Female,Afternoon,Semi-Urban,4,Yes,Moderate
178,2022,Tirunelveli,Violent Crime,Other,Night,Urban,1,No,Moderate
179,2017,Thoothukudi,Violent Crime,Female,Afternoon,Urban,5,Yes,Moderate
180,2014,Erode,Cyber Crime,Other,Night,Semi-Urban,1,Yes,Low
181,2014,Erode,Violent Crime,Female,Evening,Rural,4,Yes,Moderate
182,2023,Chennai,Property Crime,Female,Evening,Rural,2,Yes,Very Low
183,2017,Tiruchirappalli,Property Crime,Female,Evening,Urban,3,Yes,Low
184,2020,Coimbatore,Property Crime,Female,Afternoon,Rural,4,No,Moderate
185,2015,Coimbatore,Violent Crime,Other,Evening,Rural,3,Yes,Moderate
186,2016,Coimbatore,Property Crime,Other,Afternoon,Urban,1,Yes,Very Low
187,2014,Tiruchirappalli,Cyber Crime,Female,Night,Semi-Urban,5,Yes,Moderate
188,2018,Chennai,Violent Crime,Female,Afternoon,Urban,2,Yes,Low
189,2014,Tiruchirappalli,Economic Offense,Other,Night,Urban,4,No,High
190,2021,Coimbatore,Violent Crime,Male,Morning,Urban,2,Yes,Low
191,2014,Salem,Cyber Crime,Male,Morning,Semi-Urban,3,Yes,Low
192,2024,Madurai,Economic Offense,Male,Morning,Semi-Urban,3,No,Moderate
193,2014,Tirunelveli,Violent Crime,Other,Afternoon,Semi-Urban,5,Yes,Moderate
194,2015,Tiruchirappalli,Property Crime,Other,Morning,Semi-Urban,3,Yes,Low
195,2015,Chennai,Sexual Crime,Male,Morning,Urban,5,Yes,Moderate
196,2019,Chennai,Sexual Crime,Male,Morning,Rural,4,Yes,High
197,2020,Dindigul,Property Crime,Female,Night,Urban,5,No,Moderate
198,2018,Madurai,Sexual Crime,Other,Evening,Semi-Urban,3,Yes,Moderate
199,2014,Thoothukudi,Sexual Crime,Other,Afternoon,Rural,1,Yes,Moderate
200,2014,Erode,Property Crime,Male,Morning,Urban,5,No,Low
201,2016,Coimbatore,Property Crime,Male,Night,Rural,2,Yes,Low
202,2015,Thoothukudi,Violent Crime,Other,Evening,Semi-Urban,1,Yes,Low
203,2018,Dindigul,Violent Crime,Female,Evening,Rural,5,No,High
204,2023,Coimbatore,Property Crime,Male,Evening,Rural,2,Yes,Very Low
205,2019,Madurai,Cyber Crime,Other,Night,Semi-Urban,1,No,Moderate
206,2020,Dindigul,Sexual Crime,Other,Morning,Rural,5,Yes,High
207,2017,Coimbatore,Violent Crime,Female,Evening,Urban,4,No,Moderate
208,2020,Madurai,Sexual Crime,Female,Night,Rural,2,Yes,High
209,2024,Vellore,Economic Offense,Male,Night,Urban,4,Yes,Moderate
210,2021,Thoothukudi,Property Crime,Male,Afternoon,Rural,3,No,Moderate
211,2024,Thoothukudi,Cyber Crime,Male,Night,Rural,5,Yes,High
212,2014,Erode,Economic Offense,Other,Evening,Semi-Urban,5,No,Moderate
213,2019,Madurai,Economic Offense,Male,Evening,Semi-Urban,2,No,Low
214,2021,Tiruchirappalli,Economic Offense,Other,Night,Urban,5,No,High
215,2018,Vellore,Property Crime,Male,Evening,Semi-Urban,3,No,Low
216,2017,Salem,Violent Crime,Female,Night,Semi-Urban,5,Yes,High
217,2015,Coimbatore,Property Crime,Female,Evening,Semi-Urban,1,No,Very Low
218,2019,Vellore,Violent Crime,Other,Afternoon,Semi-Urban,4,Yes,Moderate
219,2019,Madurai,Economic Offense,Female,Morning,Semi-Urban,3,Yes,Low
220,2024,Tirunelveli,Economic Offense,Other,Afternoon,Urban,3,No,Moderate
221,2014,Coimbatore,Cyber Crime,Other,Afternoon,Urban,4,No,Moderate
222,2022,Chennai,Violent Crime,Female,Morning,Semi-Urban,4,Yes,Moderate
223,2024,Thoothukudi,Economic Offense,Other,Evening,Semi-Urban,3,No,Moderate
224,2019,Madurai,Sexual Crime,Female,Morning,Urban,4,Yes,Moderate
225,2016,Chennai,Cyber Crime,Male,Night,Rural,2,No,Moderate
226,2017,Erode,Property Crime,Male,Morning,Urban,4,Yes,Low
227,2024,Dindigul,Cyber Crime,Female,Afternoon,Rural,1,Yes,Low
228,2017,Salem,Sexual Crime,Female,Morning,Semi-Urban,1,No,Moderate
229,2016,Salem,Violent Crime,Female,Evening,Semi-Urban,2,Yes,Low
230,2023,Chennai,Property Crime,Female,Afternoon,Urban,4,Yes,Low
231,2016,Thoothukudi,Property Crime,Male,Night,Semi-Urban,1,No,Low
232,2016,Erode,Violent Crime,Other,Evening,Rural,5,No,High
233,2017,Tirunelveli,Cyber Crime,Other,Afternoon,Rural,4,No,Moderate
234,2020,Thoothukudi,Economic Offense,Male,Night,Urban,2,No,Moderate
235,2017,Vellore,Cyber Crime,Other,Evening,Rural,4,No,Moderate
236,2022,Salem,Sexual Crime,Male,Night,Urban,3,Yes,High
237,2014,Vellore,Economic Offense,Other,Morning,Urban,3,Yes,Low
238,2021,Coimbatore,Cyber Crime,Female,Morning,Rural,1,No,Low
239,2020,Tiruchirappalli,Violent Crime,Female,Night,Rural,3,Yes,High
240,2015,Madurai,Sexual Crime,Female,Morning,Rural,2,Yes,Moderate
241,2021,Erode,Sexual Crime,Male,Night,Rural,1,Yes,High
242,2014,Thoothukudi,Sexual Crime,Male,Evening,Rural,2,Yes,Moderate
243,2024,Salem,Economic Offense,Other,Afternoon,Rural,2,Yes,Low
244,2022,Vellore,Property Crime,Other,Night,Rural,3,No,High
245,2022,Dindigul,Economic Offense,Other,Afternoon,Semi-Urban,3,No,Moderate
246,2015,Coimbatore,Cyber Crime,Male,Afternoon,Urban,2,Yes,Very Low
247,2020,Madurai,Property Crime,Other,Night,Urban,3,Yes,Moderate
248,2023,Madurai,Cyber Crime,Female,Morning,Rural,3,No,Moderate
249,2016,Thoothukudi,Property Crime,Other,Evening,Urban,3,No,Low
250,2020,Erode,Economic Offense,Female,Afternoon,Rural,4,No,Moderate
251,2023,Tirunelveli,Sexual Crime,Male,Evening,Semi-Urban,2,No,Moderate
252,2022,Dindigul,Violent Crime,Female,Afternoon,Urban,5,Yes,Moderate
253,2017,Thoothukudi,Sexual Crime,Female,Night,Urban,2,No,High
254,2014,Vellore,Economic Offense,Female,Morning,Semi-Urban,1,No,Low
255,2015,Tiruchirappalli,Property Crime,Male,Evening,Semi-Urban,3,Yes,Low
256,2014,Chennai,Sexual Crime,Male,Afternoon,Semi-Urban,3,No,High
257,2018,Tirunelveli,Economic Offense,Male,Night,Urban,5,No,High
258,2018,Erode,Cyber Crime,Male,Night,Urban,1,No,Moderate
259,2024,Coimbatore,Violent Crime,Other,Afternoon,Semi-Urban,4,No,Moderate
260,2020,Tirunelveli,Sexual Crime,Male,Afternoon,Semi-Urban,2,No,Moderate
261,2022,Salem,Property Crime,Female,Afternoon,Semi-Urban,4,Yes,Low
262,2022,Erode,Cyber Crime,Male,Morning,Semi-Urban,1,Yes,Very Low
263,2016,Tiruchirappalli,Economic Offense,Other,Afternoon,Semi-Urban,5,Yes,Low
264,2016,Salem,Violent Crime,Other,Afternoon,Rural,1,Yes,Low
265,2016,Tirunelveli,Property Crime,Other,Morning,Semi-Urban,5,Yes,Low
266,2017,Chennai,Economic Offense,Female,Night,Rural,4,No,High
267,2021,Chennai,Economic Offense,Male,Afternoon,Urban,4,No,Moderate
268,2019,Tiruchirappalli,Sexual Crime,Male,Evening,Urban,1,No,Moderate
269,2021,Madurai,Sexual Crime,Male,Night,Rural,1,No,High
270,2014,Dindigul,Property Crime,Female,Evening,Semi-Urban,3,No,Low
271,2021,Coimbatore,Economic Offense,Female,Afternoon,Urban,5,No,Moderate
272,2017,Madurai,Sexual Crime,Other,Morning,Semi-Urban,3,No,High
273,2024,Chennai,Violent Crime,Other,Morning,Semi-Urban,2,No,Low
274,2014,Chennai,Violent Crime,Male,Morning,Rural,2,No,Moderate
275,2021,Vellore,Economic Offense,Female,Afternoon,Urban,1,No,Low
276,2017,Salem,Sexual Crime,Female,Afternoon,Urban,4,No,High
277,2019,Tirunelveli,Property Crime,Male,Evening,Rural,2,No,Low
278,2021,Coimbatore,Property Crime,Male,Morning,Semi-Urban,2,No,Very Low
279,2017,Tiruchirappalli,Property Crime,Other,Afternoon,Semi-Urban,3,Yes,Low
280,2016,Tirunelveli,Violent Crime,Other,Night,Urban,3,No,High
281,2022,Vellore,Sexual Crime,Other,Afternoon,Rural,2,Yes,Moderate
282,2016,Chennai,Sexual Crime,Male,Afternoon,Rural,1,No,Moderate
283,2022,Tiruchirappalli,Violent Crime,Male,Night,Semi-Urban,3,No,High
284,2015,Chennai,Property Crime,Other,Morning,Semi-Urban,2,No,Very Low
285,2015,Coimbatore,Property Crime,Other,Night,Rural,4,Yes,Moderate
286,2015,Salem,Economic Offense,Female,Morning,Urban,3,Yes,Low
287,2019,Tirunelveli,Cyber Crime,Female,Night,Semi-Urban,2,No,Moderate
288,2016,Tirunelveli,Sexual Crime,Other,Evening,Rural,5,No,High
289,2022,Madurai,Sexual Crime,Other,Morning,Rural,3,No,High
290,2017,Tiruchirappalli,Sexual Crime,Female,Afternoon,Rural,5,No,High
291,2014,Dindigul,Cyber Crime,Other,Evening,Urban,3,Yes,Low
292,2017,Vellore,Economic Offense,Female,Morning,Semi-Urban,3,Yes,Low
293,2014,Dindigul,Cyber Crime,Female,Morning,Semi-Urban,5,No,Moderate
294,2018,Madurai,Property Crime,Female,Morning,Semi-Urban,1,Yes,Very Low
295,2017,Coimbatore,Property Crime,Male,Night,Urban,2,Yes,Low
296,2021,Vellore,Sexual Crime,Male,Morning,Semi-Urban,1,No,Moderate
297,2021,Salem,Violent Crime,Other,Afternoon,Semi-Urban,1,No,Low
298,2020,Dindigul,Sexual Crime,Female,Morning,Semi-Urban,2,No,Moderate
299,2016,Salem,Violent Crime,Male,Afternoon,Semi-Urban,4,Yes,Moderate
300,2014,Dindigul,Cyber Crime,Other,Afternoon,Urban,1,No,Low
301,2014,Salem,Property Crime,Other,Afternoon,Rural,1,Yes,Very Low
302,2024,Dindigul,Violent Crime,Other,Evening,Rural,1,No,Moderate
303,2016,Salem,Cyber Crime,Other,Afternoon,Semi-Urban,4,No,Moderate
304,2019,Madurai,Property Crime,Other,Night,Semi-Urban,3,Yes,Moderate
305,2020,Erode,Violent Crime,Female,Morning,Semi-Urban,5,Yes,Moderate
306,2019,Vellore,Sexual Crime,Other,Night,Urban,5,Yes,High
307,2019,Tiruchirappalli,Sexual Crime,Female,Evening,Semi-Urban,4,Yes,Moderate
308,2019,Coimbatore,Sexual Crime,Male,Morning,Urban,1,Yes,Low
309,2016,Thoothukudi,Cyber Crime,Other,Afternoon,Semi-Urban,5,Yes,Low
310,2019,Chennai,Sexual Crime,Male,Morning,Semi-Urban,4,No,High
311,2021,Tiruchirappalli,Economic Offense,Female,Evening,Rural,2,Yes,Low
312,2024,Chennai,Property Crime,Female,Evening,Semi-Urban,5,Yes,Low
313,2024,Vellore,Cyber Crime,Male,Night,Urban,2,No,Moderate
314,2015,Tiruchirappalli,Sexual Crime,Other,Morning,Rural,1,Yes,Moderate
315,2018,Salem,Property Crime,Other,Morning,Urban,5,Yes,Low
316,2014,Salem,Violent Crime,Male,Morning,Rural,4,No,High
317,2014,Thoothukudi,Sexual Crime,Male,Night,Urban,3,No,Very High
318,2018,Chennai,Property Crime,Male,Evening,Rural,5,No,Moderate
319,2016,Coimbatore,Economic Offense,Other,Afternoon,Urban,5,Yes,Low
320,2017,Vellore,Violent Crime,Other,Morning,Urban,5,No,Moderate
321,2016,Salem,Economic Offense,Other,Night,Semi-Urban,5,Yes,Moderate
322,2014,Erode,Property Crime,Male,Night,Rural,4,No,High
323,2014,Madurai,Economic Offense,Other,Afternoon,Rural,4,Yes,Moderate
324,2018,Madurai,Property Crime,Female,Evening,Semi-Urban,3,No,Low
325,2019,Dindigul,Property Crime,Male,Morning,Urban,4,No,Low
326,2016,Coimbatore,Economic Offense,Other,Morning,Urban,4,No,Moderate
327,2022,Madurai,Property Crime,Male,Night,Rural,1,Yes,Low
328,2018,Dindigul,Sexual Crime,Female,Evening,Urban,1,Yes,Low
329,2021,Chennai,Property Crime,Female,Morning,Rural,2,No,Low
330,2014,Salem,Cyber Crime,Male,Afternoon,Rural,3,No,Moderate
331,2018,Salem,Property Crime,Male,Evening,Urban,1,No,Very Low
332,2016,Erode,Cyber Crime,Female,Evening,Urban,3,No,Moderate
333,2014,Tiruchirappalli,Property Crime,Male,Night,Urban,3,Yes,Moderate
334,2017,Madurai,Property Crime,Female,Night,Semi-Urban,5,No,Moderate
335,2018,Chennai,Economic Offense,Female,Morning,Rural,3,No,Moderate
336,2020,Tirunelveli,Sexual Crime,Other,Night,Urban,5,Yes,High
337,2014,Madurai,Sexual Crime,Male,Evening,Semi-Urban,2,Yes,Low
338,2016,Coimbatore,Violent Crime,Male,Morning,Urban,2,No,Low
339,2015,Tiruchirappalli,Economic Offense,Other,Morning,Rural,2,No,Low
340,2022,Madurai,Economic Offense,Female,Evening,Semi-Urban,5,Yes,Low
341,2023,Chennai,Sexual Crime,Male,Morning,Rural,5,Yes,High
342,2019,Madurai,Economic Offense,Other,Afternoon,Urban,2,No,Low
343,2023,Coimbatore,Sexual Crime,Other,Afternoon,Urban,5,Yes,Moderate
344,2016,Tirunelveli,Economic Offense,Male,Morning,Urban,4,Yes,Low
345,2021,Vellore,Property Crime,Other,Night,Semi-Urban,4,No,Moderate
346,2021,Thoothukudi,Sexual Crime,Female,Afternoon,Semi-Urban,5,No,High
347,2015,Tirunelveli,Sexual Crime,Other,Morning,Semi-Urban,5,Yes,Moderate
